product_type,external_temp,current_room_temp,humidity,volume_kg,packaging_type,storage_time_hr,airflow_rating,ideal_room_temp
ice-cream,26.9,13.12,47.62,54.93,metal,7.4,moderate,-17.62
curd,36.86,4.23,65.65,98.35,glass,58.2,poor,5.2
curd,23.41,3.45,42.52,78.82,plastic,55.6,good,4.24
flavored_beverage,40.11,7.17,58.25,82.88,tetrapack,53.4,moderate,4.68
curd,23.67,12.82,80.48,38.65,plastic,7.6,good,4.81
butter,33.19,17.84,34.19,18.87,plastic,60.6,poor,7.1
curd,44.05,12.62,79.07,67.83,glass,34.0,good,4.28
curd,20.23,19.22,61.25,12.21,tetrapack,7.4,poor,4.2
ice-cream,38.81,4.44,78.79,25.71,metal,19.0,moderate,-17.68
cheese,33.3,17.5,64.33,10.6,plastic,12.5,poor,7.45
curd,36.18,4.45,67.87,38.26,metal,49.9,good,3.77
butter,37.51,7.8,73.46,66.61,tetrapack,69.4,moderate,6.7
curd,34.04,12.41,43.09,60.13,glass,26.0,moderate,4.84
ice-cream,21.21,18.14,73.26,33.78,plastic,34.1,poor,-17.65
milk,43.88,1.44,33.16,82.61,tetrapack,16.7,poor,2.45
ice-cream,42.63,7.67,40.61,42.41,plastic,29.4,moderate,-18.37
cheese,26.98,3.83,43.47,58.12,tetrapack,25.3,poor,8.27
curd,37.07,18.67,62.72,86.33,glass,58.2,poor,3.84
milk,21.23,19.65,54.1,20.27,metal,34.8,moderate,3.11
curd,36.04,13.68,54.83,91.83,plastic,20.8,moderate,4.1
milk,29.45,1.56,53.92,65.99,metal,52.2,moderate,2.44
butter,29.16,15.3,31.54,39.71,tetrapack,1.5,poor,5.74
curd,32.37,19.52,71.4,86.38,tetrapack,62.5,poor,5.02
curd,42.95,0.76,39.17,61.57,tetrapack,59.1,good,4.85
butter,21.23,11.49,45.26,88.21,glass,24.9,moderate,5.8
cheese,25.68,0.75,54.0,74.96,metal,59.1,good,8.48
ice-cream,33.46,1.93,74.52,50.46,metal,29.1,poor,-18.07
milk,28.88,16.68,88.73,63.44,metal,67.7,poor,4.19
milk,39.35,17.03,52.74,77.6,metal,39.4,poor,3.2
ice-cream,27.97,2.13,77.92,9.5,metal,1.6,poor,-18.09
milk,30.23,16.48,80.92,5.14,plastic,25.3,good,3.99
milk,42.22,6.97,58.3,23.18,tetrapack,52.5,moderate,2.73
milk,44.18,0.48,61.65,34.98,plastic,68.3,moderate,3.58
ice-cream,42.95,6.92,78.93,24.91,metal,9.3,good,-17.41
curd,25.17,16.4,63.75,42.72,metal,56.4,poor,4.82
curd,23.22,5.31,52.51,99.28,plastic,3.3,good,3.95
ice-cream,31.0,19.88,70.51,88.21,metal,14.5,poor,-17.1
curd,43.01,7.09,74.79,63.12,metal,47.7,moderate,4.58
cheese,21.15,17.41,35.85,6.52,plastic,36.9,poor,9.55
butter,42.28,0.9,56.4,63.25,glass,6.1,poor,7.02
curd,32.51,14.73,55.26,35.49,tetrapack,44.2,moderate,4.64
ice-cream,21.18,6.18,59.66,63.44,metal,59.2,poor,-18.29
ice-cream,24.9,0.97,56.4,38.0,plastic,27.6,poor,-19.38
cheese,28.8,5.65,61.72,51.31,tetrapack,42.2,good,8.61
cheese,28.85,6.87,73.23,16.41,metal,47.9,poor,7.86
cheese,37.71,5.73,81.19,87.68,tetrapack,34.4,poor,9.43
cheese,24.12,0.78,41.42,13.01,tetrapack,44.4,moderate,7.34
milk,34.87,6.79,82.74,88.24,glass,3.8,moderate,3.61
ice-cream,32.83,18.96,86.18,12.08,glass,51.9,good,-17.91
milk,26.06,7.99,53.04,32.14,tetrapack,57.0,poor,3.09
ice-cream,38.28,0.34,59.87,44.2,tetrapack,27.3,good,-18.79
butter,36.54,18.72,33.99,43.15,glass,21.9,poor,5.73
flavored_beverage,38.42,15.77,51.75,17.84,plastic,51.3,good,6.09
ice-cream,32.47,5.17,42.32,15.0,plastic,15.8,moderate,-18.26
butter,37.71,5.48,79.09,68.07,plastic,48.7,poor,5.9
milk,25.57,15.94,49.19,5.87,plastic,30.9,moderate,3.44
curd,37.82,7.18,61.69,9.12,tetrapack,46.4,poor,5.13
ice-cream,42.15,11.62,61.16,87.89,plastic,25.3,poor,-18.39
butter,36.02,16.4,30.52,26.82,tetrapack,14.0,good,6.43
butter,33.01,3.36,36.14,15.44,metal,50.0,moderate,6.88
cheese,33.16,13.68,69.78,97.0,glass,11.1,poor,8.03
curd,20.73,14.46,41.85,68.27,plastic,20.4,moderate,3.78
butter,41.93,15.98,31.51,66.94,tetrapack,41.2,moderate,6.33
curd,41.85,9.08,66.16,55.34,tetrapack,58.9,moderate,5.25
flavored_beverage,26.16,6.01,32.63,60.17,metal,1.6,poor,4.96
cheese,36.65,9.46,69.11,19.5,metal,50.4,moderate,10.07
ice-cream,36.83,5.66,74.5,21.88,glass,26.7,good,-18.48
curd,26.7,1.51,82.16,12.21,plastic,6.8,good,4.89
butter,20.27,1.7,75.58,34.63,glass,27.4,poor,5.31
butter,41.15,3.5,46.48,4.99,glass,40.1,poor,6.71
ice-cream,31.09,18.0,51.08,67.92,metal,53.6,poor,-17.83
cheese,39.46,3.03,70.69,24.89,metal,41.8,poor,8.01
curd,28.69,12.5,64.15,54.95,tetrapack,58.7,moderate,5.23
ice-cream,32.54,8.99,53.68,42.27,plastic,56.3,moderate,-18.89
cheese,29.98,8.59,43.69,10.63,plastic,62.7,moderate,9.28
cheese,30.87,18.08,39.43,10.39,tetrapack,25.7,moderate,7.65
flavored_beverage,24.96,1.05,87.27,27.63,plastic,43.8,moderate,4.4
ice-cream,43.67,6.2,34.75,81.03,plastic,28.1,good,-19.06
butter,21.94,17.95,79.77,41.21,metal,61.7,good,7.01
ice-cream,21.99,16.61,82.1,61.27,plastic,9.1,moderate,-19.05
cheese,39.62,7.34,66.4,27.92,metal,32.9,poor,10.05
curd,34.94,1.79,80.36,43.11,glass,33.8,good,3.43
cheese,30.26,6.52,77.64,22.3,plastic,49.7,good,8.63
milk,43.02,9.71,41.36,85.43,tetrapack,48.3,good,4.25
milk,30.46,19.58,53.39,94.56,glass,47.4,good,4.33
flavored_beverage,33.31,5.93,80.83,29.97,tetrapack,65.0,poor,5.88
cheese,42.73,12.0,75.51,53.5,metal,42.5,good,9.99
ice-cream,21.82,18.84,71.08,55.47,plastic,29.3,poor,-18.98
ice-cream,32.06,3.2,37.98,74.79,metal,51.9,poor,-18.77
butter,31.17,8.61,64.03,5.43,plastic,57.8,good,6.22
cheese,31.66,0.04,69.19,79.48,glass,62.7,poor,9.9
flavored_beverage,26.86,11.87,56.18,59.04,tetrapack,60.0,poor,4.48
ice-cream,23.31,17.44,54.44,32.38,metal,30.6,moderate,-18.4
milk,21.04,7.87,32.81,14.02,metal,3.5,moderate,2.26
butter,32.32,10.86,34.83,27.43,tetrapack,14.0,moderate,6.22
curd,29.48,19.75,50.08,25.7,plastic,26.8,poor,4.07
curd,20.75,18.26,41.73,9.53,tetrapack,11.6,good,4.41
curd,26.05,16.78,33.66,61.56,glass,21.5,good,4.56
cheese,20.28,16.26,68.49,33.24,glass,39.7,moderate,9.26
ice-cream,30.52,13.04,53.57,20.07,glass,15.5,poor,-17.54
flavored_beverage,41.22,0.79,57.31,31.21,metal,38.0,good,4.97
curd,23.07,15.01,42.73,89.06,plastic,59.1,good,3.72
ice-cream,26.9,8.93,81.57,95.0,metal,29.1,good,-19.1
flavored_beverage,33.43,3.34,64.05,50.73,tetrapack,4.9,moderate,4.53
butter,30.69,2.71,53.93,32.14,tetrapack,44.9,poor,6.53
milk,30.57,14.68,70.44,21.57,plastic,58.1,moderate,3.17
curd,26.74,6.75,41.96,95.45,glass,13.9,poor,3.31
cheese,36.91,10.89,60.78,9.32,tetrapack,17.5,poor,7.46
ice-cream,22.36,5.88,61.81,64.08,plastic,45.2,poor,-18.71
milk,37.76,4.97,88.64,10.76,glass,20.4,poor,2.82
milk,21.23,3.11,75.11,21.12,tetrapack,6.7,moderate,3.34
butter,38.26,11.98,46.71,36.68,metal,32.4,poor,5.34
curd,26.71,12.07,86.07,42.49,tetrapack,6.3,moderate,4.53
butter,35.46,0.5,83.07,88.79,plastic,44.9,good,6.77
ice-cream,36.92,12.48,30.04,65.96,plastic,44.8,poor,-18.86
cheese,30.18,14.12,37.57,23.83,metal,35.5,poor,8.82
cheese,36.23,5.48,61.93,66.54,glass,28.7,good,8.75
milk,21.14,3.57,57.73,83.34,metal,29.3,poor,2.74
cheese,26.47,5.67,74.34,13.76,metal,9.3,good,9.57
curd,31.8,1.32,76.44,18.37,metal,56.4,moderate,4.36
curd,42.26,16.45,57.73,66.52,tetrapack,55.6,poor,3.93
ice-cream,31.94,14.19,57.0,2.59,metal,8.5,poor,-17.88
cheese,41.21,1.76,37.32,24.97,tetrapack,17.0,good,7.6
ice-cream,31.47,17.53,58.6,19.5,tetrapack,54.4,poor,-18.97
butter,41.45,5.93,71.0,7.42,plastic,43.9,good,6.68
butter,20.19,9.29,70.81,36.9,glass,63.5,good,6.91
milk,24.82,10.78,34.56,13.73,metal,38.9,poor,3.49
butter,27.12,8.3,64.06,75.58,metal,56.5,poor,5.67
milk,38.39,17.62,53.99,71.57,tetrapack,24.3,moderate,2.53
curd,27.76,15.12,83.09,73.38,metal,29.8,poor,4.38
flavored_beverage,27.66,11.97,87.1,91.59,metal,27.5,good,6.24
ice-cream,21.0,15.76,76.93,73.18,glass,16.1,moderate,-17.47
butter,23.42,3.8,44.33,56.49,plastic,35.9,moderate,6.05
milk,21.86,16.46,33.62,79.76,tetrapack,62.7,good,3.96
cheese,27.85,5.35,88.92,28.69,tetrapack,31.7,poor,8.73
cheese,32.11,4.67,50.0,90.48,glass,4.0,poor,7.7
flavored_beverage,43.26,3.76,35.37,57.92,glass,35.9,moderate,5.57
butter,34.47,15.57,88.83,72.41,metal,6.0,good,7.16
ice-cream,31.8,11.53,84.71,78.64,tetrapack,2.1,poor,-17.9
ice-cream,38.9,1.7,75.9,86.09,plastic,46.8,poor,-18.68
butter,28.37,6.03,71.23,72.59,metal,26.1,poor,5.23
butter,27.45,16.04,60.01,98.87,glass,49.4,poor,6.77
ice-cream,38.98,1.45,49.86,59.15,glass,31.4,moderate,-19.32
ice-cream,27.32,13.65,41.66,51.74,glass,5.8,moderate,-18.22
butter,27.27,7.11,56.49,19.27,tetrapack,20.4,good,6.54
milk,36.46,10.85,74.25,49.77,tetrapack,8.9,poor,3.26
butter,29.04,16.55,68.57,49.91,glass,46.2,poor,6.45
milk,40.91,3.11,43.98,59.58,glass,21.4,moderate,3.73
cheese,30.25,9.04,73.36,70.08,metal,36.1,good,9.91
cheese,30.73,8.64,81.94,85.11,tetrapack,16.5,poor,7.57
curd,42.54,11.75,65.02,19.16,tetrapack,51.3,good,5.21
ice-cream,34.86,13.32,56.56,38.39,glass,26.9,poor,-17.7
curd,36.11,15.15,53.58,24.82,metal,14.9,good,4.26
curd,27.66,4.33,63.74,39.55,plastic,66.0,poor,4.8
flavored_beverage,24.77,17.87,55.88,30.9,tetrapack,67.7,moderate,5.48
cheese,28.96,1.51,80.5,16.66,glass,15.6,good,9.62
cheese,22.52,7.64,46.29,79.98,glass,60.3,poor,7.29
ice-cream,44.16,16.56,58.87,8.87,plastic,16.4,poor,-17.64
milk,33.64,8.95,66.24,43.38,plastic,49.1,good,4.06
curd,24.54,13.78,33.88,99.97,plastic,2.3,moderate,4.41
milk,31.03,4.37,63.74,11.02,tetrapack,62.6,poor,3.44
curd,30.29,2.18,77.32,41.1,tetrapack,19.8,moderate,3.59
curd,23.82,4.82,37.63,38.09,plastic,40.3,good,4.19
cheese,24.34,18.54,81.4,92.32,tetrapack,1.0,good,8.91
milk,39.62,10.23,57.54,65.43,glass,26.8,good,2.71
butter,34.58,10.13,74.0,72.31,metal,39.5,moderate,6.48
curd,27.25,2.93,71.13,46.19,plastic,31.9,good,4.27
cheese,40.65,12.92,89.99,11.84,metal,42.1,moderate,9.93
cheese,25.25,4.91,41.16,97.64,tetrapack,25.4,moderate,7.9
ice-cream,38.7,11.52,84.65,65.42,tetrapack,55.2,moderate,-17.07
milk,20.21,8.55,54.31,93.24,metal,43.0,poor,2.65
milk,39.0,12.46,37.72,68.29,glass,41.1,poor,2.96
butter,31.11,16.64,44.43,36.86,plastic,24.2,moderate,6.78
butter,29.94,8.6,70.68,69.85,glass,21.1,moderate,7.11
butter,37.38,19.22,56.19,10.63,tetrapack,42.1,moderate,5.78
curd,34.14,9.35,45.82,96.88,plastic,26.1,moderate,5.06
flavored_beverage,29.19,16.75,67.46,14.14,tetrapack,52.4,moderate,4.7
cheese,41.26,1.89,39.86,79.69,tetrapack,59.5,poor,9.3
butter,42.37,5.13,69.41,6.47,glass,1.9,good,5.27
butter,21.78,12.85,50.65,43.56,glass,25.4,moderate,5.42
cheese,33.31,13.19,87.33,73.03,tetrapack,21.3,good,9.42
curd,41.71,5.1,82.74,58.43,glass,16.1,poor,4.02
ice-cream,37.77,12.9,35.64,7.92,tetrapack,70.1,moderate,-18.66
butter,40.8,17.54,54.39,39.36,plastic,36.3,poor,6.61
milk,36.61,3.46,59.75,26.77,metal,34.3,good,2.44
flavored_beverage,44.04,13.4,75.79,19.16,glass,27.7,good,5.8
cheese,38.39,11.67,51.39,26.45,plastic,28.5,good,10.03
flavored_beverage,24.17,4.27,62.12,65.24,plastic,24.6,poor,4.74
milk,29.87,18.58,55.73,71.21,metal,59.6,poor,3.61
ice-cream,34.97,14.12,76.39,34.77,metal,2.4,moderate,-18.16
curd,20.8,19.05,46.25,78.1,tetrapack,54.1,poor,4.22
milk,44.75,7.45,66.09,24.75,metal,57.2,good,3.32
butter,37.07,3.17,75.99,25.24,metal,7.3,poor,6.5
milk,42.75,8.76,45.41,30.42,plastic,32.7,good,3.78
cheese,26.99,3.54,86.5,22.71,glass,8.2,poor,7.92
flavored_beverage,41.52,9.54,52.63,38.06,metal,29.4,good,5.02
cheese,32.5,11.62,61.1,35.23,plastic,15.9,moderate,7.83
cheese,40.83,10.06,71.17,69.09,metal,26.7,good,8.71
milk,41.07,7.18,49.05,18.19,metal,53.8,poor,3.07
curd,25.56,16.17,73.87,98.17,plastic,30.6,poor,4.56
flavored_beverage,28.26,5.21,43.28,57.23,metal,60.4,good,4.67
ice-cream,22.92,7.98,56.48,42.44,tetrapack,27.6,good,-17.74
cheese,22.38,7.51,71.32,29.73,metal,4.1,poor,9.93
butter,28.04,12.74,44.61,42.3,metal,31.6,poor,5.6
butter,26.2,6.79,38.42,44.58,metal,58.0,moderate,5.89
curd,27.34,14.17,51.61,76.53,tetrapack,3.1,poor,4.26
milk,20.44,9.44,51.34,66.04,plastic,62.3,moderate,3.23
milk,33.31,17.01,45.97,63.64,glass,50.9,good,3.18
cheese,38.66,7.35,45.0,90.62,glass,24.6,poor,7.65
milk,22.97,9.42,38.69,37.6,metal,45.9,good,2.96
milk,42.28,18.01,64.8,42.39,glass,46.2,good,4.31
milk,41.19,18.0,48.33,12.99,plastic,8.5,good,4.3
flavored_beverage,34.57,0.35,66.54,5.15,tetrapack,52.1,good,5.12
cheese,36.22,3.52,72.08,8.32,plastic,57.6,moderate,9.9
milk,21.67,3.55,60.53,66.22,tetrapack,1.4,good,2.05
milk,30.01,0.11,89.45,12.89,metal,41.3,moderate,3.32
curd,35.92,15.3,83.48,11.55,plastic,29.4,poor,5.27
cheese,22.45,0.51,51.58,79.91,glass,31.5,moderate,9.49
milk,36.53,6.02,63.71,25.68,metal,24.9,good,3.33
cheese,24.38,0.8,55.74,4.68,tetrapack,15.1,moderate,8.1
cheese,27.4,13.91,49.17,16.38,glass,32.9,good,9.09
butter,31.15,7.81,41.66,45.66,metal,18.8,good,6.08
butter,31.87,2.97,36.7,8.63,tetrapack,42.7,good,5.84
flavored_beverage,32.12,10.76,63.09,5.84,tetrapack,10.7,poor,5.9
ice-cream,22.66,17.94,62.87,35.02,tetrapack,25.3,moderate,-19.12
flavored_beverage,25.76,17.16,53.5,14.43,metal,59.1,poor,5.94
curd,32.46,3.17,78.92,24.41,metal,26.1,moderate,3.21
curd,24.08,17.58,85.81,11.36,plastic,20.5,moderate,3.45
ice-cream,39.27,16.51,30.52,49.78,plastic,3.7,moderate,-18.23
milk,38.46,11.81,44.59,91.01,plastic,19.4,moderate,3.94
flavored_beverage,29.14,7.31,64.02,21.01,plastic,67.0,poor,5.76
cheese,43.21,4.65,59.56,59.59,tetrapack,71.0,poor,8.39
milk,21.85,13.58,79.02,66.2,metal,28.4,poor,4.2
curd,38.15,8.77,55.34,50.21,metal,70.4,poor,4.06
curd,30.52,16.15,53.76,67.15,tetrapack,48.6,moderate,3.47
milk,40.37,1.13,80.45,15.0,tetrapack,71.8,good,2.92
milk,40.97,19.62,31.82,90.18,metal,47.2,poor,3.63
flavored_beverage,34.8,12.33,71.87,49.03,plastic,25.8,moderate,5.21
ice-cream,35.71,15.12,43.74,73.16,tetrapack,8.6,poor,-19.07
cheese,23.28,5.66,37.36,53.48,plastic,3.1,poor,7.58
ice-cream,25.38,19.27,41.02,96.5,tetrapack,61.8,good,-18.12
curd,36.01,15.63,81.28,87.17,tetrapack,27.2,moderate,4.97
milk,38.57,12.34,63.45,2.51,metal,69.2,moderate,2.72
flavored_beverage,33.35,2.53,45.78,83.32,glass,65.5,moderate,5.44
butter,28.99,16.36,77.92,95.2,tetrapack,29.5,good,6.48
flavored_beverage,30.87,11.73,41.53,16.57,tetrapack,66.5,poor,5.98
butter,31.79,4.57,45.79,81.34,tetrapack,22.8,poor,5.88
ice-cream,25.72,4.14,31.45,16.84,metal,32.2,moderate,-17.98
curd,36.57,15.51,83.59,32.87,metal,46.1,poor,4.57
flavored_beverage,35.42,14.49,73.25,94.85,plastic,69.3,poor,5.47
butter,28.4,5.15,73.7,58.69,tetrapack,21.6,good,5.68
cheese,23.92,9.46,78.91,34.71,metal,45.1,moderate,9.39
milk,30.03,9.13,69.17,96.77,glass,26.6,poor,3.08
cheese,26.42,0.42,54.75,41.49,plastic,5.1,good,8.91
flavored_beverage,30.86,18.54,64.14,5.71,glass,7.5,good,5.82
milk,30.53,0.36,58.67,89.51,metal,27.4,good,2.4
cheese,34.42,15.75,46.59,47.12,tetrapack,33.3,poor,8.55
curd,25.54,11.78,56.03,57.83,glass,44.5,good,3.66
flavored_beverage,28.02,7.83,79.17,8.98,plastic,50.9,moderate,5.87
curd,25.01,13.39,46.07,69.8,metal,16.8,poor,4.51
milk,37.56,7.93,42.41,46.67,plastic,27.3,moderate,3.98
milk,24.82,9.88,53.99,99.92,plastic,70.8,good,4.2
milk,22.41,18.31,81.76,53.81,tetrapack,31.8,poor,2.76
curd,41.18,7.86,33.54,90.37,metal,2.3,good,3.2
flavored_beverage,31.56,18.58,47.74,63.45,tetrapack,4.5,moderate,4.47
butter,34.88,1.96,59.53,50.06,glass,69.5,poor,6.25
ice-cream,22.3,3.37,86.15,15.88,plastic,34.4,moderate,-18.4
cheese,44.34,14.29,67.06,38.07,glass,3.6,moderate,10.07
curd,20.88,6.66,55.85,61.07,tetrapack,62.4,good,4.18
curd,27.9,12.47,69.9,68.57,tetrapack,68.8,poor,4.49
ice-cream,35.01,9.35,52.91,64.78,tetrapack,25.9,good,-17.69
milk,36.01,13.5,33.09,66.58,glass,43.3,poor,2.37
cheese,34.62,0.59,83.25,50.07,metal,43.2,good,8.67
cheese,32.11,15.37,32.36,95.65,plastic,51.4,good,9.12
cheese,26.72,8.34,51.68,71.26,metal,45.2,poor,9.76
cheese,27.22,11.95,54.98,44.74,plastic,55.9,good,10.03
milk,30.17,16.85,46.65,19.27,tetrapack,4.6,good,3.65
milk,22.11,16.45,77.76,11.64,plastic,16.4,good,3.21
cheese,39.06,15.98,79.17,97.16,glass,28.3,moderate,8.87
butter,39.83,11.3,84.54,39.71,tetrapack,3.6,good,6.94
milk,38.91,4.7,75.81,11.43,plastic,42.9,poor,2.6
curd,33.34,16.95,40.91,12.64,metal,45.9,good,3.59
butter,39.17,4.06,71.72,65.43,plastic,23.8,good,6.49
cheese,26.6,1.6,80.82,79.98,plastic,13.6,moderate,7.4
butter,39.74,0.56,80.71,37.62,metal,7.5,good,5.3
flavored_beverage,24.89,5.9,37.0,24.79,glass,24.1,moderate,5.82
butter,33.31,18.75,61.09,90.02,plastic,56.3,poor,5.87
butter,41.41,1.52,40.87,97.48,glass,63.4,moderate,5.71
butter,41.97,0.24,63.92,98.0,tetrapack,40.2,good,6.25
ice-cream,23.33,1.8,62.41,84.71,plastic,38.5,good,-19.22
butter,24.41,4.6,32.46,88.36,tetrapack,20.7,poor,6.8
curd,30.68,16.14,48.75,44.42,metal,25.9,good,3.46
cheese,38.11,11.13,62.05,8.78,metal,55.9,good,8.62
curd,28.34,11.59,34.04,48.29,glass,34.1,poor,4.72
ice-cream,37.0,3.74,42.42,82.63,tetrapack,40.4,moderate,-18.33
curd,41.11,13.13,69.68,90.54,tetrapack,34.7,poor,4.48
butter,41.76,12.73,54.67,68.96,tetrapack,50.2,poor,6.64
butter,42.34,5.3,59.27,13.3,tetrapack,65.4,poor,7.19
cheese,24.04,14.67,40.9,21.52,glass,54.1,poor,9.0
cheese,32.38,9.36,74.32,20.86,tetrapack,25.0,poor,10.14
milk,39.41,6.24,82.44,1.81,tetrapack,6.0,good,4.25
butter,42.23,16.77,43.71,55.59,plastic,22.4,poor,6.62
ice-cream,27.45,9.11,89.23,82.89,tetrapack,60.1,good,-18.83
flavored_beverage,27.02,16.28,32.26,59.63,tetrapack,18.9,good,5.45
butter,22.2,6.64,63.58,78.28,metal,11.0,moderate,6.6
cheese,28.67,13.17,56.52,99.25,plastic,7.1,good,8.07
butter,33.38,16.79,47.5,32.53,glass,20.2,good,6.99
curd,31.91,3.78,55.35,77.94,metal,3.9,moderate,4.17
curd,35.71,14.09,73.04,90.8,glass,17.6,moderate,5.01
ice-cream,40.63,11.43,30.76,38.59,metal,70.5,poor,-18.95
curd,24.38,11.62,40.77,27.99,metal,58.8,moderate,4.57
ice-cream,34.84,3.01,56.13,32.14,tetrapack,10.6,moderate,-18.21
butter,22.6,19.14,37.08,80.74,glass,67.9,poor,6.49
butter,37.85,18.74,88.23,73.17,tetrapack,71.2,moderate,6.69
curd,30.61,13.99,44.59,45.59,metal,64.9,good,4.71
milk,36.63,12.93,30.36,31.52,plastic,3.1,poor,3.65
curd,32.11,18.44,83.91,88.0,tetrapack,51.4,moderate,4.5
cheese,28.27,5.71,86.6,72.74,glass,3.6,poor,9.9
ice-cream,44.73,4.46,61.16,13.39,tetrapack,60.4,moderate,-17.9
milk,41.5,11.15,46.0,13.77,plastic,31.5,moderate,4.14
butter,25.28,17.6,65.63,95.63,metal,27.6,moderate,5.61
cheese,35.57,18.33,78.8,25.61,metal,27.6,moderate,9.0
butter,42.78,7.72,60.85,98.89,plastic,17.7,good,6.5
butter,28.45,14.53,53.48,89.69,metal,18.1,moderate,6.87
curd,20.04,10.53,51.79,75.92,glass,5.6,moderate,4.77
flavored_beverage,35.23,1.64,50.14,59.93,plastic,63.6,poor,4.89
cheese,40.03,18.84,51.9,42.02,metal,60.3,good,7.53
ice-cream,28.16,18.28,31.65,24.39,glass,35.0,poor,-19.14
cheese,42.92,2.8,33.75,52.27,tetrapack,8.5,moderate,9.57
milk,30.9,14.6,32.6,91.55,glass,14.3,moderate,2.96
flavored_beverage,22.91,3.62,46.19,76.41,tetrapack,48.6,good,5.27
butter,21.03,17.31,66.57,53.51,glass,68.3,good,7.08
flavored_beverage,44.05,7.89,38.7,74.91,metal,20.7,good,5.88
butter,28.53,11.15,77.76,77.39,plastic,1.2,good,6.16
cheese,39.5,13.55,45.94,61.41,glass,41.7,poor,8.5
flavored_beverage,36.92,13.65,72.31,4.56,glass,23.2,moderate,5.02
butter,41.78,5.59,79.65,85.91,plastic,22.6,moderate,7.06
milk,36.44,6.92,89.72,20.17,metal,42.5,moderate,2.7
flavored_beverage,38.64,18.01,38.86,22.14,tetrapack,45.2,moderate,6.1
butter,26.84,9.6,82.89,24.63,glass,56.0,poor,5.76
curd,44.66,16.13,68.17,78.37,glass,52.6,moderate,5.56
cheese,28.59,6.63,85.8,38.29,metal,46.8,poor,9.13
cheese,21.77,16.46,71.7,40.64,metal,67.1,good,7.9
butter,31.05,16.49,37.88,96.4,tetrapack,39.5,good,6.73
curd,29.97,18.28,55.34,89.57,tetrapack,26.5,good,4.68
butter,33.3,19.57,55.26,28.2,plastic,10.5,moderate,6.72
ice-cream,35.34,16.75,42.49,9.93,plastic,50.3,good,-17.54
milk,34.07,8.28,37.47,3.04,metal,56.1,good,3.95
cheese,41.07,0.47,89.55,7.07,plastic,4.4,moderate,7.49
milk,25.9,2.13,75.32,9.85,tetrapack,37.0,moderate,2.64
milk,41.46,18.95,74.68,75.15,glass,8.4,good,4.14
butter,29.47,12.37,50.43,62.76,tetrapack,68.9,poor,6.49
flavored_beverage,26.34,7.81,63.21,2.25,tetrapack,25.0,good,5.48
flavored_beverage,35.75,13.0,40.46,57.76,tetrapack,41.2,good,5.8
curd,30.06,3.49,64.18,97.87,tetrapack,23.1,moderate,4.89
cheese,33.48,18.7,31.51,17.17,glass,18.6,moderate,7.71
cheese,21.32,4.58,68.25,16.57,plastic,55.8,poor,8.72
ice-cream,40.45,13.95,48.42,27.1,glass,26.3,good,-18.56
ice-cream,24.4,0.55,56.81,94.28,tetrapack,65.5,poor,-18.4
flavored_beverage,23.97,2.06,65.25,7.79,plastic,14.7,poor,4.96
butter,34.6,16.75,72.53,94.26,plastic,50.5,moderate,5.69
milk,26.29,9.14,53.14,74.66,metal,60.4,poor,3.84
ice-cream,33.87,11.43,61.7,80.85,glass,12.0,moderate,-17.87
butter,40.13,16.11,63.68,78.44,glass,65.9,poor,6.51
flavored_beverage,41.89,8.99,56.84,17.36,tetrapack,8.9,poor,4.8
cheese,40.88,19.81,39.49,81.27,glass,44.4,poor,9.71
cheese,22.27,14.19,89.35,58.45,metal,55.0,good,7.8
ice-cream,35.02,8.01,68.52,71.82,plastic,22.6,good,-19.17
milk,37.29,18.59,88.73,1.7,glass,50.3,good,2.99
butter,41.66,17.28,53.37,75.53,plastic,47.3,poor,6.09
curd,24.87,7.81,30.19,4.63,glass,46.3,good,2.98
butter,43.7,8.41,51.27,83.88,plastic,68.4,moderate,5.59
milk,43.11,19.15,51.17,43.72,tetrapack,29.0,good,3.76
milk,26.77,13.3,73.27,84.96,metal,71.7,good,3.87
butter,37.29,7.36,89.09,76.76,glass,30.9,moderate,6.17
butter,36.99,12.7,31.06,26.26,metal,37.1,poor,6.72
curd,20.29,9.24,83.54,51.16,glass,56.0,poor,3.55
flavored_beverage,34.66,9.69,87.79,2.21,metal,11.2,poor,5.76
ice-cream,21.01,17.02,37.01,13.68,glass,59.9,good,-17.56
ice-cream,36.64,10.53,62.72,63.79,tetrapack,59.8,poor,-19.07
cheese,33.1,13.43,88.19,62.29,tetrapack,10.3,poor,7.46
milk,33.61,4.02,71.34,69.55,glass,52.8,good,2.53
cheese,41.95,0.16,62.92,72.48,plastic,15.1,good,9.59
cheese,43.13,12.98,76.21,95.91,tetrapack,25.6,moderate,9.61
ice-cream,23.12,18.73,45.11,79.36,metal,54.3,poor,-18.34
ice-cream,33.34,10.81,79.27,76.49,plastic,39.8,good,-17.79
ice-cream,24.84,7.76,43.65,91.34,tetrapack,62.9,poor,-17.64
flavored_beverage,39.24,18.7,68.47,72.25,metal,47.4,moderate,6.12
butter,40.59,17.45,82.98,64.07,glass,5.0,poor,6.34
curd,24.07,2.85,60.3,88.45,metal,13.0,poor,4.86
cheese,42.45,6.79,47.39,45.29,metal,43.8,good,8.61
curd,37.39,8.24,70.42,15.3,plastic,71.8,moderate,5.11
milk,23.16,15.03,84.43,48.46,tetrapack,28.7,moderate,3.24
